fecha;cs_chats
1/1/2022;12439
2/1/2022;18136
3/1/2022;28137
4/1/2022;21142
5/1/2022;14738
6/1/2022;14893
7/1/2022;15804
8/1/2022;15983
9/1/2022;17892
10/1/2022;15672
11/1/2022;21388
12/1/2022;18395
13/1/2022;15690
14/1/2022;19965
15/1/2022;34285
16/1/2022;40885
17/1/2022;20046
18/1/2022;19364
19/1/2022;15455
20/1/2022;14261
21/1/2022;15870
22/1/2022;22226
23/1/2022;21580
24/1/2022;14097
25/1/2022;13479
26/1/2022;13680
27/1/2022;13756
28/1/2022;15611
29/1/2022;16648
30/1/2022;19470
31/1/2022;15843
1/2/2022;15186
2/2/2022;14021
3/2/2022;14285
4/2/2022;16288
5/2/2022;20461
6/2/2022;20575
7/2/2022;14334
8/2/2022;14240
9/2/2022;13231
10/2/2022;12443
11/2/2022;20368
12/2/2022;17205
13/2/2022;18878
14/2/2022;56374
15/2/2022;33252
16/2/2022;13675
17/2/2022;13672
18/2/2022;16311
19/2/2022;17442
20/2/2022;38318
21/2/2022;14823
22/2/2022;15256
23/2/2022;15173
24/2/2022;17274
25/2/2022;17657
26/2/2022;21464
27/2/2022;29489
28/2/2022;26381
1/3/2022;26142
2/3/2022;15369
3/3/2022;15329
4/3/2022;21614
5/3/2022;21350
6/3/2022;24045
7/3/2022;15100
8/3/2022;17146
9/3/2022;30419
10/3/2022;15490
11/3/2022;19134
12/3/2022;18468
13/3/2022;21268
14/3/2022;14053
15/3/2022;13412
16/3/2022;13461
17/3/2022;13138
18/3/2022;20727
19/3/2022;17930
20/3/2022;20426
21/3/2022;12649
22/3/2022;11233
23/3/2022;18437
24/3/2022;33549
25/3/2022;21590
26/3/2022;15842
27/3/2022;17527
28/3/2022;12088
29/3/2022;15810
30/3/2022;13989
31/3/2022;14159
1/4/2022;17831
2/4/2022;18229
3/4/2022;21519
4/4/2022;12066
5/4/2022;12257
6/4/2022;13110
7/4/2022;13867
8/4/2022;18022
9/4/2022;18725
10/4/2022;21767
11/4/2022;16032
12/4/2022;14257
13/4/2022;17831
14/4/2022;18719
15/4/2022;16443
16/4/2022;12526
17/4/2022;14688
18/4/2022;11805
19/4/2022;10976
20/4/2022;13691
21/4/2022;11839
22/4/2022;17323
23/4/2022;16905
24/4/2022;18509
25/4/2022;13009
26/4/2022;21104
27/4/2022;14856
28/4/2022;16152
29/4/2022;20057
30/4/2022;23833
1/5/2022;33487
2/5/2022;18137
3/5/2022;13717
4/5/2022;13293
5/5/2022;13530
6/5/2022;18827
7/5/2022;21062
8/5/2022;26397
9/5/2022;13600
10/5/2022;11984
11/5/2022;13218
12/5/2022;13492
13/5/2022;18347
14/5/2022;22194
15/5/2022;24574
16/5/2022;16304
17/5/2022;30091
18/5/2022;52180
19/5/2022;17861
20/5/2022;19195
21/5/2022;20223
22/5/2022;23136
23/5/2022;12586
24/5/2022;17587
25/5/2022;26288
26/5/2022;13866
27/5/2022;22578
28/5/2022;32829
29/5/2022;30647
30/5/2022;16902
31/5/2022;18064
1/6/2022;21761
2/6/2022;17105
3/6/2022;43182
4/6/2022;30824
5/6/2022;29702
6/6/2022;15509
7/6/2022;13807
8/6/2022;14177
9/6/2022;14779
10/6/2022;20805
11/6/2022;21957
12/6/2022;23317
13/6/2022;13963
14/6/2022;14056
15/6/2022;14207
16/6/2022;31480
17/6/2022;22140
18/6/2022;20398
19/6/2022;21171
20/6/2022;24788
21/6/2022;14070
22/6/2022;13455
23/6/2022;14508
24/6/2022;27071
25/6/2022;21430
26/6/2022;23909
27/6/2022;18624
28/6/2022;13405
29/6/2022;13789
30/6/2022;17434
1/7/2022;48659
2/7/2022;29609
3/7/2022;24158
4/7/2022;16548
5/7/2022;15269
6/7/2022;31022
7/7/2022;18305
8/7/2022;19805
9/7/2022;21291
10/7/2022;28168
11/7/2022;17555
12/7/2022;13789
13/7/2022;15455
14/7/2022;15485
15/7/2022;22590
16/7/2022;25991
17/7/2022;27623
18/7/2022;20399
19/7/2022;17176
20/7/2022;19251
21/7/2022;17160
22/7/2022;18474
23/7/2022;22825
24/7/2022;26657
25/7/2022;16639
26/7/2022;29588
27/7/2022;18283
28/7/2022;13660
29/7/2022;15053
30/7/2022;16394
31/7/2022;18610
1/8/2022;12079
2/8/2022;10429
3/8/2022;11160
4/8/2022;11081
5/8/2022;14251
6/8/2022;17976
7/8/2022;21555
8/8/2022;15106
9/8/2022;12302
10/8/2022;12428
11/8/2022;11766
12/8/2022;15073
13/8/2022;15345
14/8/2022;25961
15/8/2022;42292
16/8/2022;15123
17/8/2022;13063
18/8/2022;12203
19/8/2022;15401
20/8/2022;16164
21/8/2022;23017
22/8/2022;11410
23/8/2022;9411
24/8/2022;12951
25/8/2022;19749
26/8/2022;13627
27/8/2022;18277
28/8/2022;20485
29/8/2022;11276
30/8/2022;11448
31/8/2022;12219
1/9/2022;13497
2/9/2022;14640
3/9/2022;14636
4/9/2022;16742
5/9/2022;10193
6/9/2022;9581
7/9/2022;10191
8/9/2022;33108
9/9/2022;27055
10/9/2022;16671
11/9/2022;19246
12/9/2022;10412
13/9/2022;9962
14/9/2022;11933
15/9/2022;11696
16/9/2022;13352
17/9/2022;13508
18/9/2022;17376
19/9/2022;13846
20/9/2022;12035
21/9/2022;12659
22/9/2022;10702
23/9/2022;12770
24/9/2022;13880
25/9/2022;16916
26/9/2022;11781
27/9/2022;11659
28/9/2022;10887
29/9/2022;10619
30/9/2022;15008
1/10/2022;15730
2/10/2022;17576
3/10/2022;15156
4/10/2022;10052
5/10/2022;12346
6/10/2022;14917
7/10/2022;13509
8/10/2022;17601
9/10/2022;16661
10/10/2022;22313
11/10/2022;10629
12/10/2022;10799
13/10/2022;10657
14/10/2022;16916
15/10/2022;39675
16/10/2022;22996
17/10/2022;12672
18/10/2022;10244
19/10/2022;10883
20/10/2022;11259
21/10/2022;13249
22/10/2022;16602
23/10/2022;17859
24/10/2022;12057
25/10/2022;11070
26/10/2022;15007
27/10/2022;11476
28/10/2022;17143
29/10/2022;19523
30/10/2022;38479
31/10/2022;16911
1/11/2022;17394
2/11/2022;12178
3/11/2022;11697
4/11/2022;15206
5/11/2022;15696
6/11/2022;20563
7/11/2022;12331
8/11/2022;10384
9/11/2022;10231
10/11/2022;40478
11/11/2022;40825
12/11/2022;20750
13/11/2022;38933
14/11/2022;17338
15/11/2022;10738
16/11/2022;12885
17/11/2022;11499
18/11/2022;13162
19/11/2022;14478
20/11/2022;31881
21/11/2022;27924
22/11/2022;11389
23/11/2022;9965
24/11/2022;12358
25/11/2022;13903
26/11/2022;19070
27/11/2022;23373
28/11/2022;15425
29/11/2022;12780
30/11/2022;41064
1/12/2022;21105
2/12/2022;16640
3/12/2022;18751
4/12/2022;24517
5/12/2022;23197
6/12/2022;25678
7/12/2022;55239
8/12/2022;30984
9/12/2022;56227
10/12/2022;28732
11/12/2022;31620
12/12/2022;28774
13/12/2022;40259
14/12/2022;28364
15/12/2022;19234
16/12/2022;23599
17/12/2022;22180
18/12/2022;32153
19/12/2022;32146
20/12/2022;27069
21/12/2022;29047
22/12/2022;25116
23/12/2022;26859
24/12/2022;10795
25/12/2022;13914
26/12/2022;19807
27/12/2022;16719
28/12/2022;17134
29/12/2022;17762
30/12/2022;20229
31/12/2022;11972
1/1/2023;20738
2/1/2023;27772
3/1/2023;15411
4/1/2023;14034
5/1/2023;11732
6/1/2023;14553
7/1/2023;15212
8/1/2023;18944
9/1/2023;17133
10/1/2023;10687
11/1/2023;12211
12/1/2023;13268
13/1/2023;14546
14/1/2023;15424
15/1/2023;20036
16/1/2023;15652
17/1/2023;14341
18/1/2023;12801
19/1/2023;13779
20/1/2023;27668
21/1/2023;18066
22/1/2023;20680
23/1/2023;14542
24/1/2023;13412
25/1/2023;14015
26/1/2023;15449
27/1/2023;20045
28/1/2023;18577
29/1/2023;23649
30/1/2023;17287
31/1/2023;18911
1/2/2023;17118
2/2/2023;19848
3/2/2023;20147
4/2/2023;17772
5/2/2023;23115
6/2/2023;17667
7/2/2023;16815
8/2/2023;16114
9/2/2023;16561
10/2/2023;21562
11/2/2023;26116
12/2/2023;43749
13/2/2023;24779
14/2/2023;61205
15/2/2023;38060
16/2/2023;22661
17/2/2023;23628
18/2/2023;16534
19/2/2023;18821
20/2/2023;20592
21/2/2023;21958
22/2/2023;15865
23/2/2023;14591
24/2/2023;16733
25/2/2023;18796
26/2/2023;19830
27/2/2023;16609
28/2/2023;17548
1/3/2023;21862
2/3/2023;19968
3/3/2023;21039
4/3/2023;21452
5/3/2023;25863
6/3/2023;18070
7/3/2023;16650
8/3/2023;24003
9/3/2023;17436
10/3/2023;24120
11/3/2023;31506
12/3/2023;40570
13/3/2023;18085
14/3/2023;19026
15/3/2023;19541
16/3/2023;17307
17/3/2023;20915
18/3/2023;21755
19/3/2023;28319
20/3/2023;13983
21/3/2023;13953
22/3/2023;13331
23/3/2023;20440
24/3/2023;21258
25/3/2023;20824
26/3/2023;20480
27/3/2023;12626
28/3/2023;13036
29/3/2023;14629
30/3/2023;14384
31/3/2023;21890
1/4/2023;21459
2/4/2023;25799
3/4/2023;15685
4/4/2023;16162
5/4/2023;22039
6/4/2023;21903
7/4/2023;19889
8/4/2023;15811
9/4/2023;18151
10/4/2023;13668
11/4/2023;12481
12/4/2023;15117
13/4/2023;13756
14/4/2023;18977
15/4/2023;20244
16/4/2023;41190
17/4/2023;16756
18/4/2023;14437
19/4/2023;14900
20/4/2023;13776
21/4/2023;18656
22/4/2023;21287
23/4/2023;25705
24/4/2023;14317
25/4/2023;15650
26/4/2023;13720
27/4/2023;14591
28/4/2023;25940
29/4/2023;26078
30/4/2023;38769
1/5/2023;59907
2/5/2023;22086
3/5/2023;16621
4/5/2023;14987
5/5/2023;9551
